|Element|Description|Categories|Parents†|Children|Attributes|Interface
0|a|Hyperlink|flow;phrasing*;interactive|phrasing|transparent*|globals;href;target;rel;media;hreflang;type|HTMLAnchorElement
1|abbr|Abbreviation|flow;phrasing|phrasing|phrasing|globals|HTMLElement
2|address|Contactinformationforapageorsection|flow;formatBlockcandidate|flow|flow*|globals|HTMLElement
3|area|Hyperlinkordeadareaonanimagemap|flow;phrasing|phrasing*|empty|globals;alt;coords;shape;href;target;rel;media;hreflang;type|HTMLAreaElement
4|article|Self-containedsyndicatableorreusablecomposition|flow;sectioning;formatBlockcandidate|flow|flow|globals|HTMLElement
5|aside|Sidebarfortangentiallyrelatedcontent|flow;sectioning;formatBlockcandidate|flow|flow|globals|HTMLElement
6|audio|Audioplayer|flow;phrasing;embedded;interactive|phrasing|source*;transparent*|globals;src;preload;autoplay;mediagroup;loop;controls|HTMLAudioElement
7|b|Keywords|flow;phrasing|phrasing|phrasing|globals|HTMLElement
8|base|BaseURLanddefaulttargetbrowsingcontextforhyperlinksandforms|metadata|head|empty|globals;href;target|HTMLBaseElement
9|bdi|Textdirectionalityisolation|flow;phrasing|phrasing|phrasing|globals|HTMLElement
10|bdo|Textdirectionalityformatting|flow;phrasing|phrasing|phrasing|globals|HTMLElement
11|blockquote|Asectionquotedfromanothersource|flow;sectioningroot;formatBlockcandidate|flow|flow|globals;cite|HTMLQuoteElement
12|body|Documentbody|sectioningroot|html|flow|globals;onafterprint;onbeforeprint;onbeforeunload;onblur;onerror;onfocus;onhashchange;onload;onmessage;onoffline;ononline;onpagehide;onpageshow;onpopstate;onredo;onresize;onscroll;onstorage;onundo;onunload|HTMLBodyElement
13|br|Linebreak,e.g.inpoemorpostaladdress|flow;phrasing|phrasing|empty|globals|HTMLBRElement
14|button|Buttoncontrol|flow;phrasing;interactive;listed;labelable;submittable;form-associated|phrasing|phrasing*|globals;autofocus;disabled;form;formaction;formenctype;formmethod;formnovalidate;formtarget;name;type;value|HTMLButtonElement
15|canvas|Scriptablebitmapcanvas|flow;phrasing;embedded|phrasing|transparent|globals;width;height|HTMLCanvasElement
16|caption|Tablecaption||table|flow*|globals|HTMLTableCaptionElement
17|cite|Titleofawork|flow;phrasing|phrasing|phrasing|globals|HTMLElement
18|code|Computercode|flow;phrasing|phrasing|phrasing|globals|HTMLElement
19|col|Tablecolumn||colgroup|empty|globals;span|HTMLTableColElement
20|colgroup|Groupofcolumnsinatable||table|col|globals;span|HTMLTableColElement
21|command|Menucommand|metadata;flow;phrasing|head;phrasing|empty|globals;type;label;icon;disabled;checked;radiogroup|HTMLCommandElement
22|datalist|Containerforoptionsforcomboboxcontrol|flow;phrasing|phrasing|phrasing;option|globals|HTMLDataListElement
23|dd|Contentforcorrespondingdtelement(s)||dl|flow|globals|HTMLElement
24|del|Aremovalfromthedocument|flow;phrasing*|phrasing|transparent|globals;cite;datetime|HTMLModElement
25|details|Disclosurecontrolforhidingdetails|flow;sectioningroot;interactive|flow|summary*;flow|globals;open|HTMLDetailsElement
26|dfn|Defininginstance|flow;phrasing|phrasing|phrasing*|globals|HTMLElement
27|div|Genericflowcontainer|flow;formatBlockcandidate|flow|flow|globals|HTMLDivElement
28|dl|Associationlistconsistingofzeroormorename-valuegroups|flow|flow|dt*;dd*|globals|HTMLDListElement
29|dt|Legendforcorrespondingddelement(s)||dl|phrasing|globals|HTMLElement
30|em|Stressemphasis|flow;phrasing|phrasing|phrasing|globals|HTMLElement
31|embed|Plugin|flow;phrasing;embedded;interactive|phrasing|empty|globals;src;type;width;height;any*|HTMLEmbedElement
32|fieldset|Groupofformcontrols|flow;sectioningroot;listed;form-associated|flow|legend*;flow|globals;disabled;form;name|HTMLFieldSetElement
33|figcaption|Captionforfigure||figure|flow|globals|HTMLElement
34|figure|Figurewithoptionalcaption|flow;sectioningroot|flow|figcaption*;flow|globals|HTMLElement
35|footer|Footerforapageorsection|flow;formatBlockcandidate|flow|flow*|globals|HTMLElement
36|form|User-submittableform|flow|flow|flow*|globals;accept-charset;action;autocomplete;enctype;method;name;novalidate;target|HTMLFormElement
37|h1,h2,h3,h4,h5,h6|Sectionheading|flow;heading;formatBlockcandidate|hgroup;flow|phrasing|globals|HTMLHeadingElement
38|head|Containerfordocumentmetadata||html|metadatacontent*|globals|HTMLHeadElement
39|header|Introductoryornavigationalaidsforapageorsection|flow;formatBlockcandidate|flow|flow*|globals|HTMLElement
40|hgroup|headinggroup|flow;heading;formatBlockcandidate|flow|h1,h2,h3,h4,h5,h6|globals|HTMLElement
41|hr|Thematicbreak|flow|flow|empty|globals|HTMLHRElement
42|html|Rootelement||*|head*;body*|globals;manifest|HTMLHtmlElement
43|i|Alternatevoice|flow;phrasing|phrasing|phrasing|globals|HTMLElement
44|iframe|Nestedbrowsingcontext|flow;phrasing;embedded;interactive|phrasing|text*|globals;src;srcdoc;name;sandbox;seamless;width;height|HTMLIFrameElement
45|img|Image|flow;phrasing;embedded;interactive*|phrasing|empty|globals;alt;src;usemap;ismap;width;height|HTMLImageElement
46|input|Formcontrol|flow;phrasing;interactive*;listed;labelable;submittable;resettable;form-associated|phrasing|empty|globals;accept;alt;autocomplete;autofocus;checked;dirname;disabled;form;formaction;formenctype;formmethod;formnovalidate;formtarget;height;list;max;maxlength;min;multiple;name;pattern;placeholder;readonly;required;size;src;step;type;value;width|HTMLInputElement
47|ins|Anadditiontothedocument|flow;phrasing*|phrasing|transparent|globals;cite;datetime|HTMLModElement
48|kbd|Userinput|flow;phrasing|phrasing|phrasing|globals|HTMLElement
