|Attribute|Element(s)|Description|Value
0|accept|input|Hintforexpectedfiletypeinfileuploadcontrols|Setofcomma-separatedtokens*consistingofvalidMIMEtypeswithnoparametersoraudio/*,video/*,orimage/*
1|accept-charset|form|Characterencodingstouseforformsubmission|Orderedsetofuniquespace-separatedtokens,ASCIIcase-insensitive,consistingofpreferredMIMEnamesofASCII-compatiblecharacterencodings*
2|accesskey|HTMLelements|Keyboardshortcuttoactivateorfocuselement|Orderedsetofuniquespace-separatedtokens,case-sensitive,consistingofoneUnicodecodepointinlength
3|action|form|URLtouseforformsubmission|ValidURLpotentiallysurroundedbyspaces
4|alt|area;img;input|Replacementtextforusewhenimagesarenotavailable|Text*
5|async|script|Executescriptasynchronously|Booleanattribute
6|autocomplete|form;input|Preventtheuseragentfromprovidingautocompletionsfortheformcontrol(s)|"""on"";""off"""
7|autofocus|button;input;keygen;select;textarea|Automaticallyfocustheformcontrolwhenthepageisloaded|Booleanattribute
8|autoplay|audio;video|Hintthatthemediaresourcecanbestartedautomaticallywhenthepageisloaded|Booleanattribute
9|border|border|Explicitindicationthatthetableelementisnotbeingusedforlayoutpurposes|"Theemptystring,or""1"""
10|challenge|keygen|Stringtopackagewiththegeneratedandsignedpublickey|Text
11|charset|meta|Characterencodingdeclaration|PreferredMIMEnameofanencoding*
12|charset|script|Characterencodingoftheexternalscriptresource|PreferredMIMEnameofanencoding*
13|checked|command;input|Whetherthecommandorcontrolischecked|Booleanattribute
14|cite|blockquote;del;ins;q|Linktothesourceofthequotationormoreinformationabouttheedit|ValidURLpotentiallysurroundedbyspaces
15|class|HTMLelements|Classestowhichtheelementbelongs|Setofspace-separatedtokens
16|cols|textarea|Maximumnumberofcharactersperline|Validnon-negativeintegergreaterthanzero
17|colspan|td;th|Numberofcolumnsthatthecellistospan|Validnon-negativeintegergreaterthanzero
18|content|meta|Valueoftheelement|Text*
19|contenteditable|HTMLelements|Whethertheelementiseditable|"""true"";""false"""
20|contextmenu|HTMLelements|Theelement'scontextmenu|ID*
21|controls|audio;video|Showuseragentcontrols|Booleanattribute
22|coords|area|Coordinatesfortheshapetobecreatedinanimagemap|Validlistofintegers*
23|data|object|Addressoftheresource|Validnon-emptyURLpotentiallysurroundedbyspaces
24|datetime|del;ins|Dateand(optionally)timeofthechange|Validdatestringwithoptionaltime
25|datetime|time|Valueoftheelement|Validdateortimestring*
26|default|track|Enablethetrackifnoothertexttrackismoresuitable.|Booleanattribute
27|defer|script|Deferscriptexecution|Booleanattribute
28|dir|HTMLelements|Thetextdirectionalityoftheelement|"""ltr"";""rtl"""
29|dirname|input;textarea|Nameofformfieldtouseforsendingtheelement'sdirectionalityinformsubmission|Text*
30|disabled|button;command;fieldset;input;keygen;optgroup;option;select;textarea|Whethertheformcontrolisdisabled|Booleanattribute
31|draggable|HTMLelements|Whethertheelementisdraggable|"""true"";""false"""
32|dropzone|HTMLelements|Accepteditemtypesfordrag-and-drop|Unorderedsetofuniquespace-separatedtokens,ASCIIcase-insensitive,consistingofacceptedtypesanddragfeedback*
33|enctype|form|Formdatasetencodingtypetouseforformsubmission|"""application/x-www-form-urlencoded"";""multipart/form-data"";""text/plain"""
34|for|label|Associatethelabelwithformcontrol|ID*
35|for|output|Specifiescontrolsfromwhichtheoutputwascalculated|Unorderedsetofuniquespace-separatedtokens,case-sensitive,consistingofIDs*
36|form|button;fieldset;input;keygen;label;meter;object;output;progress;select;textarea|Associatesthecontrolwithaformelement|ID*
37|formaction|button;input|URLtouseforformsubmission|ValidURLpotentiallysurroundedbyspaces
38|formenctype|button;input|Formdatasetencodingtypetouseforformsubmission|"""application/x-www-form-urlencoded"";""multipart/form-data"";""text/plain"""
39|formmethod|button;input|HTTPmethodtouseforformsubmission|"""GET"";""POST"""
40|formnovalidate|button;input|Bypassformcontrolvalidationforformsubmission|Booleanattribute
41|formtarget|button;input|Browsingcontextforformsubmission|Validbrowsingcontextnameorkeyword
42|headers|td;th|Theheadercellsforthiscell|Unorderedsetofuniquespace-separatedtokens,case-sensitive,consistingofIDs*
43|height|canvas;embed;iframe;img;input;object;video|Verticaldimension|Validnon-negativeinteger
44|hidden|HTMLelements|Whethertheelementisrelevant|Booleanattribute
45|high|meter|Lowlimitofhighrange|Validfloatingpointnumber*
46|href|a;area|Addressofthehyperlink|ValidURLpotentiallysurroundedbyspaces
47|href|link|Addressofthehyperlink|Validnon-emptyURLpotentiallysurroundedbyspaces
48|href|base|DocumentbaseURL|ValidURLpotentiallysurroundedbyspaces
49|hreflang|a;area;link|Languageofthelinkedresource|ValidBCP47languagetag
50|http-equiv|meta|Pragmadirective|Text*
51|icon|command|Iconforthecommand|Validnon-emptyURLpotentiallysurroundedbyspaces
52|id|HTMLelements|Theelement'sID|Text*
53|ismap|img|Whethertheimageisaserver-sideimagemap|Booleanattribute
54|keytype|keygen|Thetypeofcryptographickeytogenerate|Text*
55|kind|track|Thetypeoftexttrack|"""subtitles"";""captions"";""descriptions"";""chapters"";""metadata"""
56|label|command;menu;optgroup;option;track|User-visiblelabel|Text
57|lang|HTMLelements|Languageoftheelement|ValidBCP47languagetagortheemptystring
58|list|input|Listofautocompleteoptions|ID*
59|loop|audio;video|Whethertoloopthemediaresource|Booleanattribute
60|low|meter|Highlimitoflowrange|Validfloatingpointnumber*
61|manifest|html|Applicationcachemanifest|Validnon-emptyURLpotentiallysurroundedbyspaces
62|max|input|Maximumvalue|varies*
63|max|meter;progress|Upperboundofrange|Validfloatingpointnumber*
64|maxlength|input;textarea|Maximumlengthofvalue|Validnon-negativeinteger
65|media|a;area;link;source;style|Applicablemedia|Validmediaquery
66|mediagroup|audio;video|GroupsmediaelementstogetherwithanimplicitMediaController|Text
67|method|form|HTTPmethodtouseforformsubmission|"""GET"";""POST"""
68|min|input|Minimumvalue|varies*
69|min|meter|Lowerboundofrange|Validfloatingpointnumber*
70|multiple|input;select|Whethertoallowmultiplevalues|Booleanattribute
71|name|button;fieldset;input;keygen;output;select;textarea|Nameofformcontroltouseforformsubmissionandintheform.elementsAPI|Text*
72|name|form|Nameofformtouseinthedocument.formsAPI|Text*
73|name|iframe;object|Nameofnestedbrowsingcontext|Validbrowsingcontextnameorkeyword
74|name|map|Nameofimagemaptoreferencefromtheusemapattribute|Text*
75|name|meta|Metadataname|Text*
76|name|param|Nameofparameter|Text
77|novalidate|form|Bypassformcontrolvalidationforformsubmission|Booleanattribute
78|open|details|Whetherthedetailsarevisible|Booleanattribute
79|optimum|meter|Optimumvalueingauge|Validfloatingpointnumber*
80|pattern|input|Patterntobematchedbytheformcontrol'svalue|RegularexpressionmatchingtheJavaScriptPatternproduction
81|placeholder|input;textarea|User-visiblelabeltobeplacedwithintheformcontrol|Text*
82|poster|video|Posterframetoshowpriortovideoplayback|Validnon-emptyURLpotentiallysurroundedbyspaces
83|preload|audio;video|Hintshowmuchbufferingthemediaresourcewilllikelyneed|""""";""metadata"";""auto"""
84|pubdate|time|Whethertheelement'svaluerepresentsapublicationtimeforthenearestarticleorbody|Booleanattribute
85|radiogroup|command|Nameofgroupofcommandstotreatasaradiobuttongroup|Text
86|readonly|input;textarea|Whethertoallowthevaluetobeeditedbytheuser|Booleanattribute
87|rel|a;area;link|Relationshipbetweenthedocumentcontainingthehyperlinkandthedestinationresource|Setofspace-separatedtokens*
88|required|input;select;textarea|Whetherthecontrolisrequiredforformsubmission|Booleanattribute
89|reversed|ol|Numberthelistbackwards|Booleanattribute
90|rows|textarea|Numberoflinestoshow|Validnon-negativeintegergreaterthanzero
91|rowspan|td;th|Numberofrowsthatthecellistospan|Validnon-negativeinteger
92|sandbox|iframe|Securityrulesfornestedcontent|"Unorderedsetofuniquespace-separatedtokens,ASCIIcase-insensitive,consistingof""allow-same-origin"",""allow-forms"",and""allow-scripts"""
93|spellcheck|HTMLelements|Whethertheelementistohaveitsspellingandgrammarchecked|"""true"";""false"""
94|scope|th|Specifieswhichcellstheheadercellappliesto|"""row"";""col"";""rowgroup"";""colgroup"""
95|scoped|style|Whetherthestylesapplytotheentiredocumentorjusttheparentsubtree|Booleanattribute
96|seamless|iframe|Whethertoapplythedocument'sstylestothenestedcontent|Booleanattribute
97|selected|option|Whethertheoptionisselectedbydefault|Booleanattribute
98|shape|area|Thekindofshapetobecreatedinanimagemap|"""circle"";""default"";""poly"";""rect"""
99|size|input;select|Sizeofthecontrol|Validnon-negativeintegergreaterthanzero
100|sizes|link|"Sizesoftheicons(forrel=""icon"")"|Unorderedsetofuniquespace-separatedtokens,ASCIIcase-insensitive,consistingofsizes*
101|span|col;colgroup|Numberofcolumnsspannedbytheelement|Validnon-negativeintegergreaterthanzero
102|src|audio;embed;iframe;img;input;script;source;track;video|Addressoftheresource|Validnon-emptyURLpotentiallysurroundedbyspaces
103|srcdoc|iframe|Adocumenttorenderintheiframe|Thesourceofaniframesrcdocdocument*
104|srclang|track|Languageofthetexttrack|ValidBCP47languagetag
105|start|ol|Ordinalvalueofthefirstitem|Validinteger
106|step|input|Granularitytobematchedbytheformcontrol'svalue|"Validfloatingpointnumbergreaterthanzero,or""any"""
107|style|HTMLelements|Presentationalandformattinginstructions|CSSdeclarations*
108|tabindex|HTMLelements|Whethertheelementisfocusable,andtherelativeorderoftheelementforthepurposesofsequentialfocusnavigation|Validinteger
109|target|a;area|Browsingcontextforhyperlinknavigation|Validbrowsingcontextnameorkeyword
110|target|base|Defaultbrowsingcontextforhyperlinknavigationandformsubmission|Validbrowsingcontextnameorkeyword
111|target|form|Browsingcontextforformsubmission|Validbrowsingcontextnameorkeyword
112|title|HTMLelements|Advisoryinformationfortheelement|Text
