|Attribute|Element(s)|Description|Value
0|onabort|HTMLelements|aborteventhandler|Eventhandlercontentattribute
1|onafterprint|body|afterprinteventhandlerforWindowobject|Eventhandlercontentattribute
2|onbeforeprint|body|beforeprinteventhandlerforWindowobject|Eventhandlercontentattribute
3|onbeforeunload|body|beforeunloadeventhandlerforWindowobject|Eventhandlercontentattribute
4|onblur|body|blureventhandlerforWindowobject|Eventhandlercontentattribute
5|onblur|HTMLelements|blureventhandler|Eventhandlercontentattribute
6|oncanplay|HTMLelements|canplayeventhandler|Eventhandlercontentattribute
7|oncanplaythrough|HTMLelements|canplaythrougheventhandler|Eventhandlercontentattribute
8|onchange|HTMLelements|changeeventhandler|Eventhandlercontentattribute
9|onclick|HTMLelements|clickeventhandler|Eventhandlercontentattribute
10|oncontextmenu|HTMLelements|contextmenueventhandler|Eventhandlercontentattribute
11|oncuechange|HTMLelements|cuechangeeventhandler|Eventhandlercontentattribute
12|ondblclick|HTMLelements|dblclickeventhandler|Eventhandlercontentattribute
13|ondrag|HTMLelements|drageventhandler|Eventhandlercontentattribute
14|ondragend|HTMLelements|dragendeventhandler|Eventhandlercontentattribute
15|ondragenter|HTMLelements|dragentereventhandler|Eventhandlercontentattribute
16|ondragleave|HTMLelements|dragleaveeventhandler|Eventhandlercontentattribute
17|ondragover|HTMLelements|dragovereventhandler|Eventhandlercontentattribute
18|ondragstart|HTMLelements|dragstarteventhandler|Eventhandlercontentattribute
19|ondrop|HTMLelements|dropeventhandler|Eventhandlercontentattribute
20|ondurationchange|HTMLelements|durationchangeeventhandler|Eventhandlercontentattribute
21|onemptied|HTMLelements|emptiedeventhandler|Eventhandlercontentattribute
22|onended|HTMLelements|endedeventhandler|Eventhandlercontentattribute
23|onerror|body|erroreventhandlerforWindowobject,andhandlerforscripterrornotifications|Eventhandlercontentattribute
24|onerror|HTMLelements|erroreventhandler|Eventhandlercontentattribute
25|onfocus|body|focuseventhandlerforWindowobject|Eventhandlercontentattribute
26|onfocus|HTMLelements|focuseventhandler|Eventhandlercontentattribute
27|onhashchange|body|hashchangeeventhandlerforWindowobject|Eventhandlercontentattribute
28|oninput|HTMLelements|inputeventhandler|Eventhandlercontentattribute
29|oninvalid|HTMLelements|invalideventhandler|Eventhandlercontentattribute
30|onkeydown|HTMLelements|keydowneventhandler|Eventhandlercontentattribute
31|onkeypress|HTMLelements|keypresseventhandler|Eventhandlercontentattribute
32|onkeyup|HTMLelements|keyupeventhandler|Eventhandlercontentattribute
33|onload|body|loadeventhandlerforWindowobject|Eventhandlercontentattribute
34|onload|HTMLelements|loadeventhandler|Eventhandlercontentattribute
35|onloadeddata|HTMLelements|loadeddataeventhandler|Eventhandlercontentattribute
36|onloadedmetadata|HTMLelements|loadedmetadataeventhandler|Eventhandlercontentattribute
37|onloadstart|HTMLelements|loadstarteventhandler|Eventhandlercontentattribute
38|onmessage|body|messageeventhandlerforWindowobject|Eventhandlercontentattribute
39|onmousedown|HTMLelements|mousedowneventhandler|Eventhandlercontentattribute
40|onmousemove|HTMLelements|mousemoveeventhandler|Eventhandlercontentattribute
41|onmouseout|HTMLelements|mouseouteventhandler|Eventhandlercontentattribute
42|onmouseover|HTMLelements|mouseovereventhandler|Eventhandlercontentattribute
43|onmouseup|HTMLelements|mouseupeventhandler|Eventhandlercontentattribute
44|onmousewheel|HTMLelements|mousewheeleventhandler|Eventhandlercontentattribute
45|onoffline|body|offlineeventhandlerforWindowobject|Eventhandlercontentattribute
46|ononline|body|onlineeventhandlerforWindowobject|Eventhandlercontentattribute
47|onpagehide|body|pagehideeventhandlerforWindowobject|Eventhandlercontentattribute
48|onpageshow|body|pageshoweventhandlerforWindowobject|Eventhandlercontentattribute
49|onpause|HTMLelements|pauseeventhandler|Eventhandlercontentattribute
50|onplay|HTMLelements|playeventhandler|Eventhandlercontentattribute
51|onplaying|HTMLelements|playingeventhandler|Eventhandlercontentattribute
52|onpopstate|body|popstateeventhandlerforWindowobject|Eventhandlercontentattribute
53|onprogress|HTMLelements|progresseventhandler|Eventhandlercontentattribute
54|onratechange|HTMLelements|ratechangeeventhandler|Eventhandlercontentattribute
55|onreadystatechange|HTMLelements|readystatechangeeventhandler|Eventhandlercontentattribute
56|onredo|body|redoeventhandlerforWindowobject|Eventhandlercontentattribute
57|onreset|HTMLelements|reseteventhandler|Eventhandlercontentattribute
58|onresize|body|resizeeventhandlerforWindowobject|Eventhandlercontentattribute
59|onscroll|body|scrolleventhandlerforWindowobject|Eventhandlercontentattribute
60|onscroll|HTMLelements|scrolleventhandler|Eventhandlercontentattribute
61|onseeked|HTMLelements|seekedeventhandler|Eventhandlercontentattribute
62|onseeking|HTMLelements|seekingeventhandler|Eventhandlercontentattribute
63|onselect|HTMLelements|selecteventhandler|Eventhandlercontentattribute
64|onshow|HTMLelements|showeventhandler|Eventhandlercontentattribute
65|onstalled|HTMLelements|stalledeventhandler|Eventhandlercontentattribute
66|onstorage|body|storageeventhandlerforWindowobject|Eventhandlercontentattribute
67|onsubmit|HTMLelements|submiteventhandler|Eventhandlercontentattribute
68|onsuspend|HTMLelements|suspendeventhandler|Eventhandlercontentattribute
69|ontimeupdate|HTMLelements|timeupdateeventhandler|Eventhandlercontentattribute
70|onundo|body|undoeventhandlerforWindowobject|Eventhandlercontentattribute
71|onunload|body|unloadeventhandlerforWindowobject|Eventhandlercontentattribute
72|onvolumechange|HTMLelements|volumechangeeventhandler|Eventhandlercontentattribute
73|onwaiting|HTMLelements|waitingeventhandler|Eventhandlercontentattribute
