|Element(s)|Interface(s)
0|a|HTMLAnchorElement:HTMLElement
1|abbr|HTMLElement
2|address|HTMLElement
3|area|HTMLAreaElement:HTMLElement
4|article|HTMLElement
5|aside|HTMLElement
6|audio|HTMLAudioElement:HTMLMediaElement:HTMLElement
7|b|HTMLElement
8|base|HTMLBaseElement:HTMLElement
9|bdi|HTMLElement
10|bdo|HTMLElement
11|blockquote|HTMLQuoteElement:HTMLElement
12|body|HTMLBodyElement:HTMLElement
13|br|HTMLBRElement:HTMLElement
14|button|HTMLButtonElement:HTMLElement
15|canvas|HTMLCanvasElement:HTMLElement
16|caption|HTMLTableCaptionElement:HTMLElement
17|cite|HTMLElement
18|code|HTMLElement
19|col|HTMLTableColElement:HTMLElement
20|colgroup|HTMLTableColElement:HTMLElement
21|command|HTMLCommandElement:HTMLElement
22|datalist|HTMLDataListElement:HTMLElement
23|dd|HTMLElement
24|del|HTMLModElement:HTMLElement
25|details|HTMLDetailsElement:HTMLElement
26|div|HTMLDivElement:HTMLElement
27|dl|HTMLDListElement:HTMLElement
28|dt|HTMLElement
29|em|HTMLElement
30|embed|HTMLEmbedElement:HTMLElement
31|fieldset|HTMLFieldSetElement:HTMLElement
32|figcaption|HTMLElement
33|figure|HTMLElement
34|footer|HTMLElement
35|form|HTMLFormElement:HTMLElement
36|head|HTMLHeadElement:HTMLElement
37|h1|HTMLHeadingElement:HTMLElement
38|h2|HTMLHeadingElement:HTMLElement
39|h3|HTMLHeadingElement:HTMLElement
40|h4|HTMLHeadingElement:HTMLElement
41|h5|HTMLHeadingElement:HTMLElement
42|h6|HTMLHeadingElement:HTMLElement
43|header|HTMLElement
44|hgroup|HTMLElement
45|hr|HTMLHRElement:HTMLElement
46|html|HTMLHtmlElement:HTMLElement
47|i|HTMLElement
48|iframe|HTMLIFrameElement:HTMLElement
49|img|HTMLImageElement:HTMLElement
50|input|HTMLInputElement:HTMLElement
51|ins|HTMLModElement:HTMLElement
52|kbd|HTMLElement
53|keygen|HTMLKeygenElement:HTMLElement
54|label|HTMLLabelElement:HTMLElement
55|legend|HTMLLegendElement:HTMLElement
56|li|HTMLLIElement:HTMLElement
57|link|HTMLLinkElement:HTMLElement
58|map|HTMLMapElement:HTMLElement
59|mark|HTMLElement
60|meter|HTMLMeterElement:HTMLElement
61|nav|HTMLElement
62|noscript|HTMLElement
63|object|HTMLObjectElement:HTMLElement
64|ol|HTMLOListElement:HTMLElement
65|optgroup|HTMLOptGroupElement:HTMLElement
66|option|HTMLOptionElement:HTMLElement
67|output|HTMLOutputElement:HTMLElement
68|p|HTMLParagraphElement:HTMLElement
69|param|HTMLParamElement:HTMLElement
70|pre|HTMLPreElement:HTMLElement
71|progress|HTMLProgressElement:HTMLElement
72|q|HTMLElement
73|rp|HTMLElement
74|rt|HTMLElement
75|ruby|HTMLElement
76|s|HTMLElement
77|samp|HTMLElement
78|section|HTMLElement
79|select|HTMLSelectElement:HTMLElement
80|small|HTMLElement
81|source|HTMLSourceElement:HTMLElement
82|span|HTMLSpanElement:HTMLElement
83|strong|HTMLElement
84|style|HTMLStyleElement:HTMLElement
85|sub|HTMLElement
86|summary|HTMLElement
87|sup|HTMLElement
88|table|HTMLTableElement:HTMLElement
89|tbody|HTMLTableSectionElement:HTMLElement
90|td|HTMLTableDataCellElement:HTMLTableCellElement:HTMLElement
91|textarea|HTMLTextAreaElement:HTMLElement
92|tfoot|HTMLTableSectionElement:HTMLElement
93|th|HTMLTableHeaderCellElement:HTMLTableCellElement:HTMLElement
94|thead|HTMLTableSectionElement:HTMLElement
95|time|HTMLTimeElement:HTMLElement
96|title|HTMLTitleElement:HTMLElement
97|tr|HTMLTableRowElement:HTMLElement
98|track|HTMLTrackElement:HTMLElement
99|u|HTMLElement
100|ul|HTMLUListElement:HTMLElement
101|var|HTMLElement
102|video|HTMLVideoElement:HTMLMediaElement:HTMLElement
103|wbr|HTMLElement
