|Event|Interface|Description
0|DOMContentLoaded|Event|FiredattheDocumentonceitanditsscriptshaveloaded,withoutwaitingforothersubresources
1|abort|Event|FiredattheWindowwhenthedownloadwasabortedbytheuser
2|afterprint|Event|FiredattheWindowafterprinting
3|beforeprint|Event|FiredattheWindowbeforeprinting
4|beforeunload|BeforeUnloadEvent|FiredattheWindowwhenthepageisabouttobeunloaded,incasethepagewouldliketoshowawarningprompt
5|blur|Event|Firedatnodeslosingfocus
6|change|Event|Firedatcontrolswhentheusercommitsavaluechange
7|click|Event|Firedatanelementbeforeitsactivationbehaviorisrun
8|contextmenu|Event|Firedatelementswhentheuserrequeststheircontextmenu
9|error|Event|Firedatelementswhennetworkandscripterrorsoccur
10|focus|Event|Firedatnodesgainingfocus
11|hashchange|HashChangeEvent|FiredattheWindowwhenthefragmentidentifierpartofthedocument'scurrentaddresschanges
12|input|Event|Firedatcontrolswhentheuserchangesthevalue
13|invalid|Event|Firedatcontrolsduringformvalidationiftheydonotsatisfytheirconstraints
14|load|Event|FiredattheWindowwhenthedocumenthasfinishedloading;firedatanelementcontainingaresource(e.g.img,embed)whenitsresourcehasfinishedloading
15|message|MessageEvent|Firedatanobjectwhentheobjectreceivesamessage
16|offline|Event|FiredattheWindowwhenthenetworkconnectionsfails
17|online|Event|FiredattheWindowwhenthenetworkconnectionsreturns
18|pagehide|PageTransitionEvent|FiredattheWindowwhenthepage'sentryinthesessionhistorystopsbeingthecurrententry
19|pageshow|PageTransitionEvent|FiredattheWindowwhenthepage'sentryinthesessionhistorybecomesthecurrententry
20|popstate|PopStateEvent|FiredattheWindowwhentheusernavigatesthesessionhistory
21|readystatechange|Event|FiredattheDocumentwhenitfinishesparsingandagainwhenallitssubresourceshavefinishedloading
22|reset|Event|Firedataformelementwhenitisreset
23|show|Event|Firedatamenuelementwhenitisshownasacontextmenu
24|submit|Event|Firedataformelementwhenitissubmitted
25|unload|Event|FiredattheWindowobjectwhenthepageisgoingaway
